 ,Kill .,Date,Time,Area ID,Species ID,Number of Animals,Behavior ID,Consumption Stage (pile 1),Consumption Stage (pile 2),Consumption Stage (pile 3),. of obs,. of cars,Notes,Peck Count,sample period,Field1,Proofed
4034,04-197,5/11/2004,6:05,CARCASS ARENA,WOLF,1,VIGILANT,2,,,12,6,,,,,
4035,04-197,5/11/2004,6:05,FIELD OF VIEW,WOLF,1,FEED,2,,,12,6,,,,,
4036,04-197,5/11/2004,6:05,FIELD OF VIEW,WOLF,1,REST-SLEEP,2,,,12,6,,,,,
4037,04-197,5/11/2004,6:05,FIELD OF VIEW,RAVEN,3,GROUND,2,,,12,6,,,,,
4038,04-197,5/11/2004,6:17,AT CARCASS,GRIZZLY BEAR,1,FEED,2,,,16,8,,,,,
4039,04-197,5/11/2004,6:17,CARCASS ARENA,WOLF,2,VIGILANT,2,,,16,8,,,,,
4040,04-197,5/11/2004,6:17,CARCASS ARENA,RAVEN,4,PERCHED,2,,,16,8,,,,,
4041,04-197,5/11/2004,6:17,FIELD OF VIEW,WOLF,3,REST-SLEEP,2,,,16,8,,,,,
4042,04-197,5/11/2004,6:17,FIELD OF VIEW,RAVEN,6,PERCHED,2,,,16,8,,,,,
4043,04-197,5/11/2004,6:31,AT CARCASS,WOLF,4,FEED,2,,,18,10,,,,,
4044,04-197,5/11/2004,6:31,CARCASS ARENA,WOLF,1,REST-SLEEP,2,,,18,10,,,,,
4045,04-197,5/11/2004,6:31,CARCASS ARENA,RAVEN,6,VIGILANT,2,,,18,10,,,,,
4046,04-197,5/11/2004,6:31,FIELD OF VIEW,GRIZZLY BEAR,1,TRAVEL,2,,,18,10,,,,,
4047,04-197,5/11/2004,6:45,AT CARCASS,WOLF,1,FEED,2,,,22,12,,,,,
4048,04-197,5/11/2004,6:45,AT CARCASS,RAVEN,1,FEED,2,,,22,12,,,,,
4049,04-197,5/11/2004,6:45,CARCASS ARENA,WOLF,3,REST-SLEEP,2,,,22,12,,,,,
4050,04-197,5/11/2004,6:45,CARCASS ARENA,RAVEN,3,PERCHED,2,,,22,12,,,,,
4051,04-197,5/11/2004,6:45,FIELD OF VIEW,RAVEN,3,PERCHED,2,,,22,12,,,,,
4052,04-197,5/11/2004,6:45,FIELD OF VIEW,BALD EAGLE,1,PERCHED,2,,,22,12,,,,,
4053,04-197,5/11/2004,7:01,AT CARCASS,WOLF,3,FEED,2,,,28,12,,,,,
4054,04-197,5/11/2004,7:01,CARCASS ARENA,WOLF,2,REST-SLEEP,2,,,28,12,,,,,
4055,04-197,5/11/2004,7:01,CARCASS ARENA,RAVEN,8,VIGILANT,2,,,28,12,,,,,
4056,04-197,5/11/2004,7:01,CARCASS ARENA,BALD EAGLE,1,VIGILANT,2,,,28,12,,,,,
4057,04-197,5/11/2004,7:01,FIELD OF VIEW,WOLF,1,REST-SLEEP,2,,,28,12,,,,,
4058,04-197,5/11/2004,7:01,FIELD OF VIEW,RAVEN,12,PERCHED,2,,,28,12,,,,,
4059,04-197,5/11/2004,7:16,AT CARCASS,WOLF,2,FEED,2,,,20,8,,,,,
4060,04-197,5/11/2004,7:16,CARCASS ARENA,WOLF,3,REST-SLEEP,2,,,20,8,,,,,
4061,04-197,5/11/2004,7:16,CARCASS ARENA,RAVEN,11,PERCHED,2,,,20,8,,,,,
4062,04-197,5/11/2004,7:16,CARCASS ARENA,BALD EAGLE,1,PERCHED,2,,,20,8,,,,,
4063,04-197,5/11/2004,7:16,FIELD OF VIEW,WOLF,1,REST-ALERT,2,,,20,8,,,,,
4064,04-197,5/11/2004,7:16,FIELD OF VIEW,RAVEN,2,TRAVEL,2,,,20,8,,,,,
4065,04-197,5/11/2004,7:31,AT CARCASS,WOLF,3,FEED,2,,,27,10,,,,,
4066,04-197,5/11/2004,7:31,AT CARCASS,RAVEN,2,REST-ALERT,2,,,27,10,,,,,
4067,04-197,5/11/2004,7:31,CARCASS ARENA,WOLF,1,REST-ALERT,2,,,27,10,,,,,
4068,04-197,5/11/2004,7:31,CARCASS ARENA,RAVEN,12,VIGILANT,2,,,27,10,,,,,
4069,04-197,5/11/2004,7:31,FIELD OF VIEW,WOLF,1,REST-ALERT,2,,,27,10,,,,,
4070,04-197,5/11/2004,7:31,FIELD OF VIEW,WOLF,1,TRAVEL,2,,,27,10,,,,,
4071,04-197,5/11/2004,7:31,FIELD OF VIEW,RAVEN,5,PERCHED,2,,,27,10,,,,,
4072,04-197,5/11/2004,7:31,FIELD OF VIEW,BALD EAGLE,1,PERCHED,2,,,27,10,,,,,
4073,04-197,5/11/2004,8:07,AT CARCASS,WOLF,3,FEED,2,,,14,7,,,,,
4074,04-197,5/11/2004,8:07,AT CARCASS,RAVEN,3,FEED,2,,,14,7,,,,,
4075,04-197,5/11/2004,8:07,CARCASS ARENA,RAVEN,19,VIGILANT,2,,,14,7,,,,,
4076,04-197,5/11/2004,8:07,FIELD OF VIEW,WOLF,1,REST-SLEEP,2,,,14,7,,,,,
4077,04-197,5/11/2004,8:07,FIELD OF VIEW,WOLF,1,TRAVEL,2,,,14,7,,,,,
4078,04-197,5/11/2004,8:07,FIELD OF VIEW,RAVEN,5,GROUND,2,,,14,7,,,,,
4079,04-197,5/11/2004,8:07,FIELD OF VIEW,GOLDEN EAGLE,1,PERCHED,2,,,14,7,,,,,
4080,04-197,5/11/2004,8:07,FIELD OF VIEW,BALD EAGLE,1,TRAVEL,2,,,14,7,,,,,
4081,04-197,5/11/2004,8:23,AT CARCASS,WOLF,2,FEED,2,,,27,12,,,,,
4082,04-197,5/11/2004,8:23,AT CARCASS,RAVEN,3,GROUND,2,,,27,12,,,,,
4083,04-197,5/11/2004,8:23,CARCASS ARENA,RAVEN,23,GROUND,2,,,27,12,,,,,
4084,04-197,5/11/2004,8:23,FIELD OF VIEW,WOLF,1,TRAVEL,2,,,27,12,,,,,
4085,04-197,5/11/2004,8:23,FIELD OF VIEW,WOLF,2,REST-SLEEP,2,,,27,12,,,,,
4086,04-197,5/11/2004,8:23,FIELD OF VIEW,RAVEN,8,GROUND,2,,,27,12,,,,,
4087,04-197,5/11/2004,8:23,FIELD OF VIEW,GOLDEN EAGLE,1,PERCHED,2,,,27,12,,,,,
4088,04-197,5/11/2004,8:48,AT CARCASS,WOLF,1,FEED,2,,,5,8,,,,,
4089,04-197,5/11/2004,8:48,AT CARCASS,RAVEN,2,FEED,2,,,5,8,,,,,
4090,04-197,5/11/2004,8:48,CARCASS ARENA,RAVEN,30,GROUND,2,,,5,8,,,,,
4091,04-197,5/11/2004,8:48,FIELD OF VIEW,WOLF,3,REST-SLEEP,2,,,5,8,,,,,
4092,04-197,5/11/2004,8:48,FIELD OF VIEW,RAVEN,8,GROUND,2,,,5,8,,,,,
4093,04-197,5/11/2004,8:48,FIELD OF VIEW,GOLDEN EAGLE,1,PERCHED,3,,,5,8,,,,,
4094,04-197,5/11/2004,9:03,AT CARCASS,WOLF,1,FEED,3,,,2,2,,,,,
4095,04-197,5/11/2004,9:03,AT CARCASS,RAVEN,3,GROUND,3,,,2,2,,,,,
4096,04-197,5/11/2004,9:03,CARCASS ARENA,RAVEN,17,GROUND,3,,,2,2,,,,,
4097,04-197,5/11/2004,9:03,FIELD OF VIEW,WOLF,2,REST-SLEEP,3,,,2,2,,,,,
4098,04-197,5/11/2004,9:03,FIELD OF VIEW,RAVEN,11,GROUND,3,,,2,2,,,,,
4099,04-197,5/11/2004,9:03,FIELD OF VIEW,GOLDEN EAGLE,1,PERCHED,3,,,2,2,,,,,
4100,04-197,5/11/2004,9:28,AT CARCASS,WOLF,1,FEED,3,,,2,2,,,,,
4101,04-197,5/11/2004,9:28,AT CARCASS,RAVEN,5,FEED,3,,,2,2,,,,,
4102,04-197,5/11/2004,9:28,CARCASS ARENA,RAVEN,20,GROUND,3,,,2,2,,,,,
4103,04-197,5/11/2004,9:28,FIELD OF VIEW,WOLF,1,REST-SLEEP,3,,,2,2,,,,,
4104,04-197,5/11/2004,9:28,FIELD OF VIEW,RAVEN,13,GROUND,3,,,2,2,,,,,
4105,04-197,5/11/2004,9:28,FIELD OF VIEW,GOLDEN EAGLE,1,PERCHED,3,,,2,2,,,,,
4106,04-197,5/11/2004,9:55,AT CARCASS,WOLF,2,FEED,3,,,2,2,,,,,
4107,04-197,5/11/2004,9:55,AT CARCASS,RAVEN,1,FEED,3,,,2,2,,,,,
4108,04-197,5/11/2004,9:55,CARCASS ARENA,RAVEN,22,GROUND,3,,,2,2,,,,,
4109,04-197,5/11/2004,9:55,FIELD OF VIEW,WOLF,1,REST-ALERT,3,,,2,2,,,,,
4110,04-197,5/11/2004,9:55,FIELD OF VIEW,RAVEN,14,GROUND,3,,,2,2,,,,,
4111,04-197,5/11/2004,9:55,FIELD OF VIEW,GOLDEN EAGLE,1,PERCHED,3,,,2,2,,,,,
4112,04-197,5/11/2004,10:10,AT CARCASS,WOLF,1,FEED,3,,,5,5,,,,,
4113,04-197,5/11/2004,10:10,AT CARCASS,RAVEN,3,FEED,3,,,5,5,,,,,
4114,04-197,5/11/2004,10:10,CARCASS ARENA,RAVEN,16,GROUND,3,,,5,5,,,,,
4115,04-197,5/11/2004,10:10,FIELD OF VIEW,WOLF,2,REST-ALERT,3,,,5,5,,,,,
4116,04-197,5/11/2004,10:10,FIELD OF VIEW,RAVEN,15,GROUND,3,,,5,5,,,,,
4117,04-197,5/11/2004,10:10,FIELD OF VIEW,GOLDEN EAGLE,1,PERCHED,3,,,5,5,,,,,
4118,04-197,5/11/2004,10:25,AT CARCASS,WOLF,1,FEED,3,,,6,5,,,,,
4119,04-197,5/11/2004,10:25,AT CARCASS,RAVEN,5,FEED,3,,,6,5,,,,,
4120,04-197,5/11/2004,10:25,CARCASS ARENA,RAVEN,17,GROUND,3,,,6,5,,,,,
4121,04-197,5/11/2004,10:25,FIELD OF VIEW,WOLF,3,REST-SLEEP,3,,,6,5,,,,,
4122,04-197,5/11/2004,10:25,FIELD OF VIEW,RAVEN,19,GROUND,3,,,6,5,,,,,
4123,04-197,5/11/2004,10:25,FIELD OF VIEW,GOLDEN EAGLE,1,PERCHED,3,,,6,5,,,,,
4124,04-197,5/11/2004,10:40,AT CARCASS,WOLF,1,FEED,3,,,3,3,,,,,
4125,04-197,5/11/2004,10:40,AT CARCASS,RAVEN,11,FEED,3,,,3,3,,,,,
4126,04-197,5/11/2004,10:40,CARCASS ARENA,RAVEN,9,GROUND,3,,,3,3,,,,,
4127,04-197,5/11/2004,10:40,FIELD OF VIEW,WOLF,3,REST-ALERT,3,,,3,3,,,,,
4128,04-197,5/11/2004,10:40,FIELD OF VIEW,RAVEN,26,GROUND,3,,,3,3,,,,,
4129,04-197,5/11/2004,10:40,FIELD OF VIEW,GOLDEN EAGLE,1,PERCHED,3,,,3,3,,,,,
4130,04-197,5/11/2004,10:55,AT CARCASS,WOLF,1,FEED,3,,,4,4,,,,,
4131,04-197,5/11/2004,10:55,AT CARCASS,RAVEN,1,FEED,3,,,4,4,,,,,
4132,04-197,5/11/2004,10:55,CARCASS ARENA,RAVEN,25,GROUND,3,,,4,4,,,,,
4133,04-197,5/11/2004,10:55,FIELD OF VIEW,WOLF,2,REST-SLEEP,3,,,4,4,,,,,
4134,04-197,5/11/2004,10:55,FIELD OF VIEW,RAVEN,16,GROUND,3,,,4,4,,,,,
4135,04-197,5/11/2004,10:55,FIELD OF VIEW,GOLDEN EAGLE,1,PERCHED,3,,,4,4,,,,,
4136,04-197,5/11/2004,11:10,AT CARCASS,WOLF,1,FEED,3,,,13,7,,,,,
4137,04-197,5/11/2004,11:10,CARCASS ARENA,WOLF,1,SLEEP,3,,,13,7,,,,,
4138,04-197,5/11/2004,11:10,CARCASS ARENA,RAVEN,28,GROUND,3,,,13,7,,,,,
4139,04-197,5/11/2004,11:10,FIELD OF VIEW,WOLF,2,REST-ALERT,3,,,13,7,,,,,
4140,04-197,5/11/2004,11:10,FIELD OF VIEW,RAVEN,16,GROUND,3,,,13,7,,,,,
4141,04-197,5/11/2004,11:10,FIELD OF VIEW,GOLDEN EAGLE,1,PERCHED,3,,,13,7,,,,,
4142,04-197,5/11/2004,11:25,AT CARCASS,WOLF,1,FEED,3,,,11,7,,,,,
4143,04-197,5/11/2004,11:25,AT CARCASS,RAVEN,2,FEED,3,,,11,7,,,,,
4144,04-197,5/11/2004,11:25,CARCASS ARENA,RAVEN,20,GROUND,3,,,11,7,,,,,
4145,04-197,5/11/2004,11:25,FIELD OF VIEW,WOLF,3,REST-ALERT,3,,,11,7,,,,,
4146,04-197,5/11/2004,11:25,FIELD OF VIEW,RAVEN,1,GROUND,3,,,11,7,,,,,
4147,04-197,5/11/2004,11:25,FIELD OF VIEW,GOLDEN EAGLE,1,PERCHED,3,,,11,7,,,,,
4148,04-197,5/11/2004,11:40,AT CARCASS,WOLF,1,FEED,3,,,12,6,,,,,
4149,04-197,5/11/2004,11:40,CARCASS ARENA,RAVEN,32,GROUND,3,,,12,6,,,,,
4150,04-197,5/11/2004,11:40,FIELD OF VIEW,WOLF,3,REST-SLEEP,3,,,12,6,,,,,
4151,04-197,5/11/2004,11:40,FIELD OF VIEW,RAVEN,15,GROUND,3,,,12,6,,,,,
4152,04-197,5/11/2004,11:55,AT CARCASS,WOLF,2,FEED,3,,,15,8,,,,,
4153,04-197,5/11/2004,11:55,CARCASS ARENA,RAVEN,25,GROUND,3,,,15,8,,,,,
4154,04-197,5/11/2004,11:55,FIELD OF VIEW,WOLF,1,TRAVEL,3,,,15,8,,,,,
4155,04-197,5/11/2004,11:55,FIELD OF VIEW,WOLF,2,REST-ALERT,3,,,15,8,,,,,
4156,04-197,5/11/2004,11:55,FIELD OF VIEW,RAVEN,17,GROUND,3,,,15,8,,,,,
4157,04-197,5/11/2004,12:10,AT CARCASS,WOLF,1,FEED,3,,,12,7,,,,,
4158,04-197,5/11/2004,12:10,AT CARCASS,RAVEN,2,GROUND,3,,,12,7,,,,,
4159,04-197,5/11/2004,12:10,CARCASS ARENA,RAVEN,15,GROUND,3,,,12,7,,,,,
4160,04-197,5/11/2004,12:10,FIELD OF VIEW,WOLF,2,REST-ALERT,3,,,12,7,,,,,
4161,04-197,5/11/2004,12:10,FIELD OF VIEW,RAVEN,9,GROUND,3,,,12,7,,,,,
4162,04-197,5/11/2004,12:25,AT CARCASS,WOLF,1,FEED,3,,,9,8,,,,,
4163,04-197,5/11/2004,12:25,CARCASS ARENA,RAVEN,28,GROUND,3,,,9,8,,,,,
4164,04-197,5/11/2004,12:25,FIELD OF VIEW,WOLF,3,REST-ALERT,3,,,9,8,,,,,
4165,04-197,5/11/2004,12:25,FIELD OF VIEW,RAVEN,9,GROUND,3,,,9,8,,,,,
4166,04-197,5/11/2004,12:40,AT CARCASS,WOLF,1,FEED,3,,,8,5,,,,,
4167,04-197,5/11/2004,12:40,CARCASS ARENA,RAVEN,28,GROUND,3,,,8,5,,,,,
4168,04-197,5/11/2004,12:40,FIELD OF VIEW,WOLF,4,REST-ALERT,3,,,8,5,,,,,
4169,04-197,5/11/2004,12:40,FIELD OF VIEW,RAVEN,10,GROUND,3,,,8,5,,,,,
4170,04-197,5/11/2004,12:55,AT CARCASS,WOLF,1,FEED,3,,,3,3,,,,,
4171,04-197,5/11/2004,12:55,AT CARCASS,RAVEN,2,FEED,3,,,3,3,,,,,
4172,04-197,5/11/2004,12:55,CARCASS ARENA,RAVEN,13,GROUND,3,,,3,3,,,,,
4173,04-197,5/11/2004,12:55,FIELD OF VIEW,WOLF,3,REST-ALERT,3,,,3,3,,,,,
4174,04-197,5/11/2004,12:55,FIELD OF VIEW,RAVEN,19,GROUND,3,,,3,3,,,,,
4175,04-197,5/11/2004,13:10,AT CARCASS,WOLF,1,FEED,3,,,4,3,,,,,
4176,04-197,5/11/2004,13:10,AT CARCASS,RAVEN,1,FEED,3,,,4,3,,,,,
4177,04-197,5/11/2004,13:10,CARCASS ARENA,RAVEN,26,GROUND,3,,,4,3,,,,,
4178,04-197,5/11/2004,13:10,FIELD OF VIEW,WOLF,2,REST-SLEEP,3,,,4,3,,,,,
4179,04-197,5/11/2004,13:10,FIELD OF VIEW,RAVEN,6,GROUND,3,,,4,3,,,,,
4180,04-197,5/11/2004,13:25,AT CARCASS,RAVEN,12,FEED,3,,,2,2,,,,,
4181,04-197,5/11/2004,13:25,CARCASS ARENA,RAVEN,16,GROUND,3,,,2,2,,,,,
4182,04-197,5/11/2004,13:25,FIELD OF VIEW,WOLF,1,TRAVEL,3,,,2,2,,,,,
4183,04-197,5/11/2004,13:25,FIELD OF VIEW,WOLF,1,REST-SLEEP,3,,,2,2,,,,,
4184,04-197,5/11/2004,13:25,FIELD OF VIEW,RAVEN,9,GROUND,3,,,2,2,,,,,
4185,04-210,5/18/2004,8:22,AT CARCASS,RAVEN,10,FEED,2,,,15,9,,,,,
4186,04-210,5/18/2004,8:22,CARCASS ARENA,RAVEN,2,FEED,2,,,15,9,,,,,
4187,04-210,5/18/2004,8:22,CARCASS ARENA,MAGPIE,1,GROUND,2,,,15,9,,,,,
4188,04-210,5/18/2004,8:22,FIELD OF VIEW,BALD EAGLE,1,TRAVEL,2,,,15,9,,,,,
4189,04-210,5/18/2004,8:22,FIELD OF VIEW,GRIZZLY BEAR,1,TRAVEL,2,,,15,9,,,,,
4190,04-210,5/18/2004,8:28,AT CARCASS,RAVEN,10,FEED,2,,,15,9,,,,,
4191,04-210,5/18/2004,8:28,CARCASS ARENA,RAVEN,2,GROUND,2,,,15,9,,,,,
4192,04-210,5/18/2004,8:28,CARCASS ARENA,MAGPIE,3,PERCHED,2,,,15,9,,,,,
4193,04-210,5/18/2004,8:28,FIELD OF VIEW,MAGPIE,2,GROUND,2,,,15,9,,,,,
4194,04-210,5/18/2004,8:28,FIELD OF VIEW,GRIZZLY BEAR,1,TRAVEL,2,,,15,9,,,,,
4195,04-210,5/18/2004,8:32,AT CARCASS,RAVEN,13,FEED,2,,,15,9,,,,,
4196,04-210,5/18/2004,8:32,CARCASS ARENA,RAVEN,4,PERCHED,2,,,15,9,,,,,
4197,04-210,5/18/2004,8:32,CARCASS ARENA,MAGPIE,1,TRAVEL,2,,,15,9,,,,,
4198,04-210,5/18/2004,8:32,FIELD OF VIEW,GRIZZLY BEAR,1,TRAVEL,2,,,15,9,,,,,
4199,04-210,5/18/2004,8:38,AT CARCASS,RAVEN,2,FEED,2,,,15,6,,,,,
4200,04-210,5/18/2004,8:38,AT CARCASS,COYOTE,1,FEED,2,,,15,6,,,,,
4201,04-210,5/18/2004,8:38,CARCASS ARENA,RAVEN,8,PERCHED,2,,,15,6,,,,,
4202,04-210,5/18/2004,8:38,CARCASS ARENA,MAGPIE,2,PERCHED,2,,,15,6,,,,,
4203,04-210,5/18/2004,8:38,FIELD OF VIEW,RAVEN,1,GROUND,2,,,15,6,,,,,
4204,04-210,5/18/2004,8:38,FIELD OF VIEW,GRIZZLY BEAR,1,TRAVEL,2,,,15,6,,,,,
4205,04-210,5/18/2004,8:46,AT CARCASS,MAGPIE,4,FEED,2,,,15,6,,,,,
4206,04-210,5/18/2004,8:46,AT CARCASS,COYOTE,1,FEED,2,,,15,6,,,,,
4207,04-210,5/18/2004,8:46,CARCASS ARENA,RAVEN,20,PERCHED,2,,,15,6,,,,,
4208,04-210,5/18/2004,8:46,FIELD OF VIEW,RAVEN,1,GROUND,2,,,15,6,,,,,
4209,04-210,5/18/2004,8:54,AT CARCASS,RAVEN,12,FEED,2,,,15,6,,,,,
4210,04-210,5/18/2004,8:54,CARCASS ARENA,RAVEN,5,FEED,2,,,15,6,,,,,
4211,04-210,5/18/2004,8:54,FIELD OF VIEW,RAVEN,2,GROUND,2,,,15,6,,,,,
4212,04-210,5/18/2004,9:31,AT CARCASS,RAVEN,5,FEED,2,,,1,7,,,,,
4213,04-210,5/18/2004,9:31,AT CARCASS,COYOTE,1,FEED,2,,,1,7,,,,,
4214,04-210,5/18/2004,9:31,CARCASS ARENA,RAVEN,8,GROUND,2,,,1,7,,,,,
4215,04-210,5/18/2004,9:31,FIELD OF VIEW,COYOTE,1,TRAVEL,2,,,1,7,,,,,
4216,04-210,5/18/2004,9:40,AT CARCASS,COYOTE,1,FEED,2,,,1,7,,,,,
4217,04-210,5/18/2004,9:40,CARCASS ARENA,RAVEN,19,GROUND,2,,,1,7,,,,,
4218,04-210,5/18/2004,9:40,CARCASS ARENA,MAGPIE,2,PERCHED,2,,,1,7,,,,,
4219,04-210,5/18/2004,9:45,AT CARCASS,RAVEN,5,FEED,2,,,1,9,,,,,
4220,04-210,5/18/2004,9:45,AT CARCASS,COYOTE,1,FEED,2,,,1,9,,,,,
4221,04-210,5/18/2004,9:45,CARCASS ARENA,RAVEN,17,GROUND,2,,,1,9,,,,,
4222,04-210,5/18/2004,9:45,CARCASS ARENA,MAGPIE,5,PERCHED,2,,,1,9,,,,,
4223,04-210,5/18/2004,9:50,AT CARCASS,RAVEN,7,FEED,2,,,1,9,,,,,
4224,04-210,5/18/2004,9:50,AT CARCASS,COYOTE,1,FEED,2,,,1,9,,,,,
4225,04-210,5/18/2004,9:50,CARCASS ARENA,RAVEN,14,PERCHED,2,,,1,9,,,,,
4226,04-210,5/18/2004,9:50,CARCASS ARENA,MAGPIE,1,PERCHED,2,,,1,9,,,,,
4227,04-210,5/18/2004,9:50,FIELD OF VIEW,RAVEN,1,TRAVEL,2,,,1,9,,,,,
4228,04-210,5/18/2004,9:55,AT CARCASS,RAVEN,16,FEED,3,,,5,8,,,,,
4229,04-210,5/18/2004,9:55,CARCASS ARENA,RAVEN,6,GROUND,3,,,5,8,,,,,
4230,04-210,5/18/2004,9:55,CARCASS ARENA,MAGPIE,1,PERCHED,3,,,5,8,,,,,
4231,04-210,5/18/2004,9:55,FIELD OF VIEW,RAVEN,1,TRAVEL,3,,,5,8,,,,,
4232,04-210,5/18/2004,9:55,FIELD OF VIEW,COYOTE,1,TRAVEL,3,,,5,8,,,,,
4233,04-210,5/18/2004,10:03,AT CARCASS,RAVEN,13,FEED,3,,,8,8,,,,,
4234,04-210,5/18/2004,10:03,CARCASS ARENA,RAVEN,6,GROUND,3,,,8,8,,,,,
4235,04-210,5/18/2004,10:03,FIELD OF VIEW,RAVEN,1,GROUND,3,,,8,8,,,,,
4236,04-210,5/18/2004,10:10,AT CARCASS,RAVEN,9,FEED,3,,,1,10,,,,,
4237,04-210,5/18/2004,10:10,CARCASS ARENA,RAVEN,3,GROUND,3,,,1,10,,,,,
4238,04-210,5/18/2004,10:10,FIELD OF VIEW,RAVEN,2,GROUND,3,,,1,10,,,,,
4239,04-210,5/18/2004,10:18,AT CARCASS,MAGPIE,1,FEED,3,,,3,8,,,,,
4240,04-210,5/18/2004,10:18,AT CARCASS,COYOTE,1,FEED,3,,,3,8,,,,,
4241,04-210,5/18/2004,10:18,CARCASS ARENA,RAVEN,8,GROUND,3,,,3,8,,,,,
4242,04-210,5/18/2004,10:18,FIELD OF VIEW,RAVEN,2,GROUND,3,,,3,8,,,,,
4243,04-210,5/18/2004,10:29,AT CARCASS,RAVEN,3,FEED,3,,,1,8,,,,,
4244,04-210,5/18/2004,10:29,AT CARCASS,MAGPIE,1,FEED,3,,,1,8,,,,,
4245,04-210,5/18/2004,10:29,CARCASS ARENA,RAVEN,8,GROUND,3,,,1,8,,,,,
4246,04-210,5/18/2004,10:29,CARCASS ARENA,MAGPIE,6,PERCHED,3,,,1,8,,,,,
4247,04-210,5/18/2004,12:25,AT CARCASS,RAVEN,13,FEED,3,,,1,,,,,,
4248,04-210,5/18/2004,12:30,AT CARCASS,RAVEN,14,FEED,3,,,1,,,,,,
4249,04-210,5/18/2004,12:30,CARCASS ARENA,RAVEN,2,GROUND,3,,,1,,,,,,
4250,04-210,5/18/2004,12:30,FIELD OF VIEW,RAVEN,17,GROUND,3,,,1,,,,,,
4251,04-210,5/18/2004,12:35,AT CARCASS,RAVEN,13,FEED,3,,,1,,,,,,
4252,04-210,5/18/2004,12:40,AT CARCASS,RAVEN,15,FEED,3,,,1,,,,,,
4253,04-210,5/18/2004,12:45,AT CARCASS,RAVEN,11,FEED,3,,,1,,,,,,
4254,04-210,5/18/2004,12:45,CARCASS ARENA,RAVEN,3,PERCHED,3,,,1,,,,,,
4255,04-210,5/18/2004,12:45,CARCASS ARENA,MAGPIE,1,GROUND,3,,,1,,,,,,
4256,04-210,5/18/2004,12:45,FIELD OF VIEW,RAVEN,9,GROUND,3,,,1,,,,,,
4257,04-210,5/18/2004,12:50,AT CARCASS,RAVEN,10,FEED,3,,,1,,,,,,
4258,04-210,5/18/2004,12:55,AT CARCASS,RAVEN,8,FEED,3,,,1,,,,,,
4259,04-210,5/18/2004,13:00,CARCASS ARENA,RAVEN,7,SLEEP,3,,,1,,,,,,
4260,04-210,5/18/2004,13:00,CARCASS ARENA,COYOTE,1,SLEEP,3,,,1,,,,,,
4261,04-210,5/18/2004,13:00,FIELD OF VIEW,RAVEN,7,GROUND,3,,,1,,,,,,
4262,04-210,5/18/2004,13:00,FIELD OF VIEW,BALD EAGLE,1,GROUND,3,,,1,,,,,,
4263,04-210,5/18/2004,13:05,AT CARCASS,COYOTE,1,FEED,3,,,1,,,,,,
4264,04-210,5/18/2004,13:10,AT CARCASS,MAGPIE,1,FEED,3,,,1,,,,,,
4265,04-210,5/18/2004,13:10,AT CARCASS,COYOTE,1,FEED,3,,,1,,,,,,
4266,04-210,5/18/2004,13:15,AT CARCASS,RAVEN,5,FEED,3,,,1,,,,,,
4267,04-210,5/18/2004,13:15,AT CARCASS,MAGPIE,1,FEED,3,,,1,,,,,,
4268,04-210,5/18/2004,13:15,CARCASS ARENA,RAVEN,5,PERCHED,3,,,1,,,,,,
4269,04-210,5/18/2004,13:15,CARCASS ARENA,COYOTE,1,TRAVEL,3,,,1,,,,,,
